run,type,module,name,attrname,attrvalue,value
General-18-20260518-02:57:32-2852,config,,,LoRaNetworkTest.**.radio.separateReceptionParts,false,
General-18-20260518-02:57:32-2852,config,,,**.ipv4Delayer.config,"xmldoc(""../cloudDelays.xml"")",
General-18-20260518-02:57:32-2852,config,,,**.radio.radioMediumModule,"""LoRaMedium""",
General-18-20260518-02:57:32-2852,config,,,**.LoRaMedium.pathLossType,"""LoRaLogNormalShadowing""",
General-18-20260518-02:57:32-2852,config,,,**.minInterferenceTime,0s,
General-18-20260518-02:57:32-2852,config,,,**.displayAddresses,false,
General-18-20260518-02:57:32-2852,config,,,**.numberOfNodes,6,
General-18-20260518-02:57:32-2852,config,,,**.numberOfGateways,1,
General-18-20260518-02:57:32-2852,config,,,**.constraintAreaMaxX,2376.0m,
General-18-20260518-02:57:32-2852,config,,,**.constraintAreaMaxY,1090.0m,
General-18-20260518-02:57:32-2852,config,,,**.loRaGW[0].**.initialX,544.00m,
General-18-20260518-02:57:32-2852,config,,,**.loRaGW[0].**.initialY,544.00m,
General-18-20260518-02:57:32-2852,config,,,output-scalar-file,../results/n100-gw1-s18.ini.sca,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[0..1].app[0].sendInterval,1h,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[0].**.initialX,510.63m,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[0].**.initialY,500.08m,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[1].**.initialX,470.29m,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[1].**.initialY,520.24m,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[2].**.initialX,500.60m,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[2].**.initialY,590.25m,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[3].**.initialX,535.86m,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[3].**.initialY,590.63m,
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[2..3].app[0].sendInterval,exponential(8760h),
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[4..5].app[0].sendInterval,exponential(4h),
General-18-20260518-02:57:32-2852,config,,,**.loRaNodes[4].**.initialX,650.85m,
