run,type,module,name,attrname,attrvalue,value
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[29].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[30].**initialLoRaSF,10,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[30].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[31].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[31].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[32].**initialLoRaSF,10,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[32].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[33].**initialLoRaSF,9,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[33].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[34].**initialLoRaSF,8,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[34].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[35].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[35].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[36].**initialLoRaSF,7,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[36].**initialLoRaTP,5dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[37].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[37].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[38].**initialLoRaSF,12,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[38].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[39].**initialLoRaSF,10,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[39].**initialLoRaTP,14dBm,
General-1-20260518-23:34:40-35278,config,,,**.vector-recording,true,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[*].packetForwarder.highQueueLength.vector-recording,true,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[*].packetForwarder.lowQueueLength.vector-recording,true,
General-1-20260518-23:34:40-35278,config,,,**.networkServer.app[0].delaySignal.vector-recording,true,
General-1-20260518-23:34:40-35278,config,,,**.loRaNodes[*].app[0].packetsSent:scalar,true,
General-1-20260518-23:34:40-35278,config,,,**.networkServer.app[0].totalReceivedPackets:scalar,true,
General-1-20260518-23:34:40-35278,config,,,**.loRaGW[*].**.packetDropRate:scalar,true,
General-2-20260519-00:18:35-54743,runattr,,,configname,General,
General-2-20260519-00:18:35-54743,runattr,,,datetime,20260519-00:18:35,
General-2-20260519-00:18:35-54743,runattr,,,datetimef,20260519-001835,
General-2-20260519-00:18:35-54743,runattr,,,experiment,General,
General-2-20260519-00:18:35-54743,runattr,,,inifile,n100-gw1.ini,
General-2-20260519-00:18:35-54743,runattr,,,iterationvars,"$0=""avg""",
General-2-20260519-00:18:35-54743,runattr,,,iterationvarsd,avg,
General-2-20260519-00:18:35-54743,runattr,,,iterationvarsf,avg-,
General-2-20260519-00:18:35-54743,runattr,,,measurement,"$0=""avg""",
General-2-20260519-00:18:35-54743,runattr,,,network,flora.simulations.LoRaNetworkTest,
General-2-20260519-00:18:35-54743,runattr,,,processid,54743,
General-2-20260519-00:18:35-54743,runattr,,,repetition,2,
General-2-20260519-00:18:35-54743,runattr,,,replication,#2,
General-2-20260519-00:18:35-54743,runattr,,,resultdir,results,
General-2-20260519-00:18:35-54743,runattr,,,runnumber,2,
General-2-20260519-00:18:35-54743,runattr,,,seedset,2,
General-2-20260519-00:18:35-54743,config,,,image-path,../../../inet4.4/images,
General-2-20260519-00:18:35-54743,config,,,network,flora.simulations.LoRaNetworkTest,
General-2-20260519-00:18:35-54743,config,,,output-vector-file,../results/n100-gw1-s2.ini.vec,
General-2-20260519-00:18:35-54743,config,,,**.maxTransmissionDuration,4s,
General-2-20260519-00:18:35-54743,config,,,**.energyDetection,-110dBm,
General-2-20260519-00:18:35-54743,config,,,rng-class,cMersenneTwister,
General-2-20260519-00:18:35-54743,config,,,**.loRaGW[*].numUdpApps,1,
